
Id Ponto:;2600050939
Consulta em:;05/11/2021 15:10:54
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
16;01/10/2014;23:00;16,79;;N;
17;02/10/2014;23:00;16,79;;N;
18;03/10/2014;11:00;16,75;;N;
19;04/10/2014;01:00;16,79;;N;
20;05/10/2014;22:00;16,72;;N;
21;06/10/2014;02:00;16,65;;N;
22;07/10/2014;11:00;16,69;;N;
23;08/10/2014;09:00;16,66;;N;
24;09/10/2014;12:00;16,66;;N;
25;10/10/2014;12:00;16,67;;N;
26;11/10/2014;11:00;16,74;;N;
27;12/10/2014;11:00;16,68;;N;
28;13/10/2014;11:00;16,65;;N;
29;14/10/2014;11:00;16,73;;N;
30;15/10/2014;11:00;16,80;;N;
31;16/10/2014;23:00;16,81;;N;
32;17/10/2014;18:00;16,75;;N;
33;18/10/2014;11:00;16,75;;N;
34;19/10/2014;12:00;16,71;;N;
35;20/10/2014;10:00;16,75;;N;
36;21/10/2014;11:00;16,81;;N;
37;22/10/2014;11:00;16,87;;N;
38;23/10/2014;14:00;16,82;;N;
39;24/10/2014;23:00;16,87;;N;
40;25/10/2014;11:00;16,86;;N;
41;26/10/2014;04:00;16,84;;N;
42;27/10/2014;14:00;16,76;;N;
43;28/10/2014;10:00;16,88;;N;
44;29/10/2014;11:00;16,87;;N;
45;30/10/2014;23:00;16,91;;N;
46;31/10/2014;11:00;16,90;;N;
47;01/11/2014;11:00;16,95;;N;
48;02/11/2014;12:00;16,92;;N;
49;03/11/2014;03:00;16,83;;N;
50;04/11/2014;11:00;16,91;;N;
51;05/11/2014;02:00;16,92;;N;
52;06/11/2014;11:00;17,00;;N;
53;07/11/2014;12:00;16,97;;N;
54;08/11/2014;00:00;17,00;;N;
55;09/11/2014;18:00;16,89;;N;
56;10/11/2014;10:00;16,91;;N;
57;11/11/2014;11:00;16,93;;N;
58;12/11/2014;13:00;16,90;;N;
59;13/11/2014;11:00;17,00;;N;
60;14/11/2014;03:00;16,98;;N;
61;15/11/2014;11:00;16,95;;N;
62;16/11/2014;05:00;16,93;;N;
63;17/11/2014;12:00;16,76;;N;
64;18/11/2014;12:00;16,66;;N;
65;19/11/2014;17:00;16,63;;N;
66;20/11/2014;19:00;16,63;;N;
67;21/11/2014;03:00;16,62;;N;
68;22/11/2014;17:00;16,64;;N;
69;23/11/2014;05:00;16,61;;N;
70;24/11/2014;00:00;16,60;;N;
71;25/11/2014;18:00;16,62;;N;
72;26/11/2014;03:00;16,63;;N;
73;27/11/2014;11:00;16,62;;N;
74;28/11/2014;16:00;16,61;;N;
75;29/11/2014;11:00;16,62;;N;
76;30/11/2014;11:00;16,63;;N;
77;01/12/2014;10:00;16,69;;N;
78;02/12/2014;15:00;16,72;;N;
79;03/12/2014;03:00;16,68;;N;
80;03/12/2014;22:00;16,75;;N;
81;04/12/2014;15:00;16,76;;N;
82;05/12/2014;18:00;16,75;;N;
83;06/12/2014;23:00;16,78;;N;
84;07/12/2014;20:00;16,77;;N;
85;08/12/2014;23:00;16,79;;N;
86;09/12/2014;01:00;16,77;;N;
87;10/12/2014;11:00;16,82;;N;
88;11/12/2014;13:00;16,79;;N;
89;12/12/2014;22:00;16,79;;N;
90;13/12/2014;00:00;16,77;;N;
91;14/12/2014;18:00;16,74;;N;
92;15/12/2014;05:00;16,72;;N;
93;16/12/2014;13:00;16,73;;N;
94;17/12/2014;14:00;16,81;;N;
95;18/12/2014;23:00;16,84;;N;
96;19/12/2014;11:00;16,84;;N;
97;20/12/2014;00:00;16,85;;N;
98;21/12/2014;10:00;16,80;;N;
99;22/12/2014;20:00;16,82;;N;
100;23/12/2014;23:00;16,86;;N;
101;24/12/2014;21:00;16,86;;N;
102;25/12/2014;04:00;16,81;;N;
103;26/12/2014;11:00;16,82;;N;
104;27/12/2014;12:00;16,79;;N;
105;28/12/2014;05:00;16,74;;N;
106;29/12/2014;22:00;16,76;;N;
107;30/12/2014;11:00;16,82;;N;
108;31/12/2014;11:00;16,82;;N;
109;01/01/2015;09:00;16,85;;N;
110;02/01/2015;09:00;16,80;;N;
111;03/01/2015;11:00;16,82;;N;
112;04/01/2015;00:00;16,85;;N;
113;05/01/2015;15:00;16,82;;N;
114;06/01/2015;11:00;16,84;;N;
