
Id Ponto:;2300020827
Consulta em:;16/06/2021 19:03:20
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
477;01/03/2015;16:00;15,56;;N;
478;02/03/2015;19:00;15,56;;N;
479;03/03/2015;17:00;15,56;;N;
480;04/03/2015;17:00;15,56;;N;
481;05/03/2015;22:00;15,56;;N;
482;06/03/2015;01:00;15,57;;N;
483;07/03/2015;19:00;15,56;;N;
484;08/03/2015;21:00;15,56;;N;
485;09/03/2015;10:00;15,57;;N;
486;10/03/2015;04:00;15,57;;N;
487;11/03/2015;06:00;15,57;;N;
488;12/03/2015;22:00;15,57;;N;
489;13/03/2015;19:00;15,57;;N;
490;14/03/2015;22:00;15,57;;N;
491;15/03/2015;06:00;15,58;;N;
492;16/03/2015;05:00;15,58;;N;
493;17/03/2015;11:00;15,58;;N;
494;18/03/2015;11:00;15,58;;N;
495;19/03/2015;23:00;15,58;;N;
496;20/03/2015;16:00;15,59;;N;
497;21/03/2015;21:00;15,59;;N;
498;22/03/2015;01:00;15,60;;N;
499;23/03/2015;10:00;15,60;;N;
500;24/03/2015;20:00;15,60;;N;
501;25/03/2015;11:00;15,60;;N;
502;26/03/2015;03:00;15,60;;N;
503;27/03/2015;01:00;15,60;;N;
504;28/03/2015;21:00;15,59;;N;
505;29/03/2015;18:00;15,59;;N;
506;30/03/2015;18:00;15,59;;N;
507;31/03/2015;03:00;15,59;;N;
508;01/04/2015;01:00;15,59;;N;
509;02/04/2015;09:00;15,58;;N;
510;03/04/2015;02:00;15,58;;N;
511;04/04/2015;04:00;15,58;;N;
512;05/04/2015;20:00;15,57;;N;
513;06/04/2015;19:00;15,57;;N;
514;07/04/2015;17:00;15,57;;N;
515;08/04/2015;20:00;15,56;;N;
516;09/04/2015;18:00;15,56;;N;
517;10/04/2015;21:00;15,56;;N;
518;11/04/2015;12:00;15,56;;N;
519;12/04/2015;06:00;15,56;;N;
520;13/04/2015;16:00;15,56;;N;
521;14/04/2015;02:00;15,56;;N;
522;15/04/2015;21:00;15,55;;N;
523;16/04/2015;11:00;15,55;;N;
524;17/04/2015;02:00;15,55;;N;
525;18/04/2015;06:00;15,55;;N;
526;19/04/2015;11:00;15,55;;N;
527;20/04/2015;21:00;15,54;;N;
528;21/04/2015;21:00;15,54;;N;
529;22/04/2015;11:00;15,55;;N;
530;23/04/2015;07:00;15,54;;N;
531;24/04/2015;17:00;15,53;;N;
532;25/04/2015;18:00;15,52;;N;
533;26/04/2015;11:00;15,51;;N;
534;27/04/2015;02:00;15,51;;N;
535;28/04/2015;21:00;15,50;;N;
536;29/04/2015;03:00;15,50;;N;
537;30/04/2015;22:00;15,49;;N;
538;01/05/2015;06:00;15,49;;N;
539;02/05/2015;06:00;15,49;;N;
540;03/05/2015;11:00;15,48;;N;
541;04/05/2015;21:00;15,47;;N;
542;05/05/2015;06:00;15,47;;N;
543;06/05/2015;18:00;15,46;;N;
544;07/05/2015;10:00;15,46;;N;
545;08/05/2015;01:00;15,46;;N;
546;09/05/2015;18:00;15,45;;N;
547;10/05/2015;23:00;15,44;;N;
548;11/05/2015;01:00;15,44;;N;
549;12/05/2015;19:00;15,43;;N;
550;13/05/2015;20:00;15,42;;N;
551;14/05/2015;11:00;15,42;;N;
552;15/05/2015;23:00;15,40;;N;
553;16/05/2015;19:00;15,40;;N;
554;17/05/2015;12:00;15,40;;N;
555;18/05/2015;23:00;15,39;;N;
556;19/05/2015;17:00;15,39;;N;
557;20/05/2015;23:00;15,38;;N;
558;21/05/2015;04:00;15,38;;N;
559;22/05/2015;11:00;15,37;;N;
560;23/05/2015;23:00;15,36;;N;
561;24/05/2015;11:00;15,36;;N;
562;25/05/2015;02:00;15,36;;N;
563;26/05/2015;17:00;15,35;;N;
564;27/05/2015;23:00;15,34;;N;
565;28/05/2015;21:00;15,34;;N;
566;29/05/2015;23:00;15,33;;N;
567;30/05/2015;22:00;15,33;;N;
568;31/05/2015;20:00;15,33;;N;
569;01/06/2015;19:00;15,33;;N;
570;02/06/2015;00:00;15,33;;N;
571;03/06/2015;20:00;15,32;;N;
572;04/06/2015;16:00;15,32;;N;
573;05/06/2015;02:00;15,32;;N;
574;06/06/2015;11:00;15,31;;N;
575;07/06/2015;18:00;15,31;;N;
576;08/06/2015;05:00;15,31;;N;
577;09/06/2015;22:00;15,30;;N;
578;10/06/2015;16:00;15,30;;N;
