
Id Ponto:;2300022896
Consulta em:;16/06/2021 19:11:05
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
796;01/10/2017;20:00;19,61;;N;
797;02/10/2017;13:00;19,61;;N;
798;03/10/2017;06:00;19,63;;N;
799;04/10/2017;01:00;19,64;;N;
800;05/10/2017;02:00;19,65;;N;
801;06/10/2017;22:00;19,65;;N;
802;07/10/2017;05:00;19,65;;N;
803;08/10/2017;14:00;19,64;;N;
804;09/10/2017;03:00;19,64;;N;
805;10/10/2017;01:00;19,64;;N;
806;11/10/2017;22:00;19,63;;N;
807;12/10/2017;21:00;19,63;;N;
808;13/10/2017;19:00;19,63;;N;
809;14/10/2017;05:00;19,64;;N;
810;15/10/2017;19:00;19,64;;N;
811;16/10/2017;05:00;19,66;;N;
812;17/10/2017;05:00;19,67;;N;
813;18/10/2017;06:00;19,67;;N;
814;19/10/2017;04:00;19,67;;N;
815;20/10/2017;01:00;19,67;;N;
816;21/10/2017;02:00;19,67;;N;
817;22/10/2017;04:00;19,67;;N;
818;23/10/2017;01:00;19,67;;N;
819;24/10/2017;06:00;19,66;;N;
820;25/10/2017;15:00;19,67;;N;
821;26/10/2017;19:00;19,67;;N;
822;27/10/2017;01:00;19,67;;N;
823;28/10/2017;23:00;19,66;;N;
824;29/10/2017;13:00;19,66;;N;
825;30/10/2017;21:00;19,65;;N;
826;31/10/2017;14:00;19,66;;N;
827;01/11/2017;13:00;19,68;;N;
828;02/11/2017;02:00;19,69;;N;
829;03/11/2017;06:00;19,69;;N;
830;04/11/2017;03:00;19,69;;N;
831;05/11/2017;22:00;19,69;;N;
832;06/11/2017;05:00;19,69;;N;
833;07/11/2017;07:00;19,68;;N;
834;08/11/2017;11:00;19,69;;N;
835;09/11/2017;23:00;19,69;;N;
836;10/11/2017;00:00;19,69;;N;
837;11/11/2017;21:00;19,68;;N;
838;12/11/2017;12:00;19,69;;N;
839;13/11/2017;19:00;19,69;;N;
840;14/11/2017;13:00;19,71;;N;
841;15/11/2017;13:00;19,72;;N;
842;16/11/2017;04:00;19,73;;N;
843;17/11/2017;00:00;19,73;;N;
844;18/11/2017;23:00;19,71;;N;
845;19/11/2017;00:00;19,72;;N;
846;20/11/2017;14:00;19,72;;N;
847;21/11/2017;01:00;19,73;;N;
848;22/11/2017;04:00;19,73;;N;
849;23/11/2017;01:00;19,74;;N;
850;24/11/2017;14:00;19,74;;N;
851;25/11/2017;01:00;19,75;;N;
852;26/11/2017;19:00;19,74;;N;
853;27/11/2017;19:00;19,74;;N;
854;28/11/2017;12:00;19,74;;N;
855;29/11/2017;22:00;19,73;;N;
856;30/11/2017;05:00;19,73;;N;
857;01/12/2017;00:00;19,74;;N;
858;02/12/2017;20:00;19,74;;N;
859;03/12/2017;01:00;19,75;;N;
860;04/12/2017;03:00;19,75;;N;
861;05/12/2017;07:00;19,75;;N;
862;06/12/2017;06:00;19,75;;N;
863;07/12/2017;02:00;19,75;;N;
864;08/12/2017;22:00;19,75;;N;
865;09/12/2017;23:00;19,75;;N;
866;10/12/2017;06:00;19,76;;N;
867;11/12/2017;20:00;19,76;;N;
868;12/12/2017;12:00;19,77;;N;
869;13/12/2017;18:00;19,77;;N;
870;14/12/2017;20:00;19,78;;N;
871;15/12/2017;13:00;19,78;;N;
872;16/12/2017;04:00;19,78;;N;
873;17/12/2017;06:00;19,78;;N;
874;18/12/2017;03:00;19,79;;N;
875;19/12/2017;01:00;19,79;;N;
876;20/12/2017;04:00;19,78;;N;
877;21/12/2017;07:00;19,77;;N;
878;22/12/2017;15:00;19,77;;N;
879;23/12/2017;02:00;19,78;;N;
880;24/12/2017;06:00;19,77;;N;
881;25/12/2017;03:00;19,76;;N;
882;26/12/2017;21:00;19,76;;N;
883;27/12/2017;20:00;19,76;;N;
884;28/12/2017;19:00;19,76;;N;
885;29/12/2017;05:00;19,77;;N;
886;30/12/2017;14:00;19,77;;N;
887;31/12/2017;01:00;19,78;;N;
888;01/01/2018;05:00;19,78;;N;
889;02/01/2018;06:00;19,77;;N;
890;03/01/2018;01:00;19,78;;N;
891;04/01/2018;06:00;19,79;;N;
892;05/01/2018;02:00;19,81;;N;
893;06/01/2018;08:00;19,80;;N;
894;07/01/2018;01:00;19,79;;N;
895;08/01/2018;02:00;19,79;;N;
896;09/01/2018;18:00;19,79;;N;
897;10/01/2018;19:00;19,79;;N;
898;11/01/2018;19:00;19,79;;N;
899;12/01/2018;01:00;19,79;;N;
900;13/01/2018;13:00;19,78;;N;
901;14/01/2018;21:00;19,78;;N;
902;15/01/2018;00:00;19,79;;N;
903;16/01/2018;06:00;19,79;;N;
904;17/01/2018;03:00;19,79;;N;
905;18/01/2018;00:00;19,79;;N;
906;19/01/2018;15:00;19,79;;N;
907;20/01/2018;08:00;19,79;;N;
908;21/01/2018;01:00;19,79;;N;
909;22/01/2018;03:00;19,78;;N;
910;23/01/2018;06:00;19,78;;N;
911;24/01/2018;20:00;19,78;;N;
912;25/01/2018;21:00;19,78;;N;
913;26/01/2018;12:00;19,79;;N;
914;27/01/2018;06:00;19,79;;N;
915;28/01/2018;00:00;19,79;;N;
916;29/01/2018;20:00;19,78;;N;
917;30/01/2018;20:00;19,78;;N;
918;31/01/2018;02:00;19,79;;N;
919;01/02/2018;08:00;19,79;;N;
920;02/02/2018;05:00;19,79;;N;
921;03/02/2018;00:00;19,79;;N;
922;04/02/2018;20:00;19,79;;N;
923;05/02/2018;02:00;19,80;;N;
924;06/02/2018;03:00;19,80;;N;
925;07/02/2018;22:00;19,79;;N;
926;08/02/2018;02:00;19,80;;N;
927;09/02/2018;14:00;19,80;;N;
928;10/02/2018;06:00;19,80;;N;
929;11/02/2018;00:00;19,80;;N;
930;12/02/2018;20:00;19,79;;N;
931;13/02/2018;00:00;19,80;;N;
932;14/02/2018;01:00;19,80;;N;
933;15/02/2018;20:00;19,80;;N;
934;16/02/2018;03:00;19,81;;N;
935;17/02/2018;23:00;19,79;;N;
936;18/02/2018;08:00;19,78;;N;
937;19/02/2018;08:00;19,78;;N;
938;20/02/2018;02:00;19,78;;N;
939;21/02/2018;02:00;19,79;;N;
940;22/02/2018;13:00;19,79;;N;
941;23/02/2018;01:00;19,80;;N;
942;24/02/2018;12:00;19,78;;N;
943;25/02/2018;18:00;19,78;;N;
944;26/02/2018;08:00;19,78;;N;
945;27/02/2018;14:00;19,78;;N;
946;28/02/2018;19:00;19,78;;N;
947;01/03/2018;02:00;19,80;;N;
948;02/03/2018;21:00;19,80;;N;
949;03/03/2018;07:00;19,80;;N;
950;04/03/2018;05:00;19,79;;N;
951;05/03/2018;07:00;19,79;;N;
952;06/03/2018;11:00;19,80;;N;
953;07/03/2018;11:00;19,80;;N;
954;08/03/2018;11:00;19,80;;N;
955;09/03/2018;22:00;19,81;;N;
956;10/03/2018;21:00;19,81;;N;
957;11/03/2018;17:00;19,81;;N;
958;12/03/2018;04:00;19,81;;N;
959;13/03/2018;17:00;19,81;;N;
960;14/03/2018;21:00;19,81;;N;
961;15/03/2018;07:00;19,81;;N;
962;16/03/2018;14:00;19,81;;N;
963;17/03/2018;02:00;19,81;;N;
964;18/03/2018;06:00;19,80;;N;
965;19/03/2018;06:00;19,80;;N;
966;20/03/2018;11:00;19,81;;N;
967;21/03/2018;18:00;19,81;;N;
968;22/03/2018;11:00;19,81;;N;
969;23/03/2018;11:00;19,81;;N;
970;24/03/2018;17:00;19,81;;N;
971;25/03/2018;11:00;19,82;;N;
972;26/03/2018;16:00;19,82;;N;
973;27/03/2018;18:00;19,82;;N;
974;28/03/2018;01:00;19,82;;N;
975;29/03/2018;06:00;19,81;;N;
976;30/03/2018;00:00;19,82;;N;
977;31/03/2018;04:00;19,81;;N;
978;01/04/2018;00:00;19,81;;N;
979;02/04/2018;15:00;19,80;;N;
